1 0 5223
2 5223 1265
3 6488 14422
4 20910 1065
5 21975 1283
6 23258 5133
7 28391 2456
8 30847 3025
9 33872 6683
10 40555 6052
11 46607 8823
12 55430 11108
13 66538 2011
14 68549 6288
15 74837 5418
16 80255 9680
17 89935 7543
18 97478 197
19 97675 232
20 97907 256
21 98163 185
22 98348 218
23 98566 196
24 98762 241
25 99003 5728
26 104731 1182
27 105913 4858
28 110771 9638
29 120409 5355
30 125764 2904
31 128668 1969
32 130637 1934
33 132571 2300
34 134871 1801
35 136672 1395
36 138067 1479
37 139546 1524
38 141070 1614
39 142684 3432
40 146116 2528
41 148644 15150
42 163794 3265
43 167059 7907
44 174966 3663
45 178629 3408
46 182037 6106
47 188143 2513
48 190656 3673
49 194329 2716
50 197045 9290
51 206335 1375
52 207710 183
53 207893 4771
54 212664 1394
55 214058 1688
56 215746 1821
57 217567 2810
58 220377 8100
59 228477 7469
60 235946 3480
61 239426 9658
62 249084 1622
63 250706 931
64 251637 1641
65 253278 4118
66 257396 3725
67 261121 1011
68 262132 14920
69 277052 6432
70 283484 3464
71 286948 3474
72 290422 1193
73 291615 4772
74 296387 741
75 297128 480
76 297608 7631
77 305239 2814
78 308053 3612
79 311665 2692
80 314357 1192
81 315549 972
82 316521 2116
83 318637 242
84 318879 250
85 319129 11210
86 330339 4962
87 335301 5711
88 341012 1706
89 342718 829
90 343547 22003
91 365550 1449
92 366999 6449
93 373448 6287
94 379735 9334
95 389069 1578
96 390647 3700
97 394347 2054
98 396401 9583
99 405984 2014
100 407998 1849
101 409847 2641
102 412488 3181
103 415669 9216
104 424885 3410
105 428295 8330
106 436625 2113
107 438738 1709
108 440447 973
109 441420 1384
110 442804 1048
111 443852 1329
112 445181 5318
113 450499 4977
114 455476 2150
115 457626 1737
116 459363 3951
117 463314 2303
118 465617 2232
119 467849 1435
120 469284 4266
121 473550 1267
122 474817 1231
123 476048 1410
124 477458 1687
125 479145 5152
126 484297 2519
127 486816 1373
128 488189 3056
129 491245 10787
130 502032 3726
131 505758 1412
132 507170 2003
133 509173 6983
134 516156 1857
135 518013 6909
136 524922 3052
137 527974 1875
138 529849 12534
139 542383 5219
140 547602 4562
141 552164 1358
142 553522 2439
143 555961 2272
144 558233 2110
145 560343 3571
146 563914 1351
147 565265 10826
148 576091 1144
149 577235 676
150 577911 4719
151 582630 1295
152 583925 904
153 584829 7357
154 592186 3095
155 595281 1893
156 597174 2873
157 600047 973
158 601020 1314
159 602334 1355
160 603689 528
161 604217 3844
162 608061 4598
163 612659 4924
164 617583 3191
165 620774 2185
166 622959 858
167 623817 789
168 624606 1226
169 625832 5552
170 631384 1554
171 632938 763
172 633701 1654
173 635355 12765
174 648120 552
175 648672 1808
176 650480 2466
177 652946 2315
178 655261 2681
179 657942 1648
180 659590 621
181 660211 2127
182 662338 2155
183 664493 2192
184 666685 2298
185 668983 2127
186 671110 483
187 671593 2423
188 674016 1234
189 675250 3085
190 678335 1556
191 679891 602
192 680493 1043
193 681536 6212
194 687748 3527
195 691275 6689
196 697964 9887
197 707851 2171
198 710022 3662
199 713684 2322
200 716006 3695
201 719701 2931
202 722632 3725
203 726357 1620
204 727977 10092
205 738069 2140
206 740209 4950
207 745159 2386
208 747545 1513
209 749058 7748
210 756806 6601
211 763407 4359
212 767766 9346
213 777112 6245
214 783357 5659
215 789016 2817
216 791833 5583
217 797416 10368
218 807784 4295
219 812079 5875
220 817954 4621
221 822575 2245
222 824820 3352
223 828172 8851
224 837023 1803
225 838826 5709
226 844535 4027
227 848562 4030
228 852592 2608
229 855200 358
230 855558 1856
231 857414 7337
232 864751 4417
233 869168 2431
234 871599 1728
235 873327 3043
236 876370 3455
237 879825 2738
238 882563 5048
239 887611 1176
240 888787 1155
241 889942 3066
242 893008 7450
243 900458 7457
244 907915 1163
245 909078 5896
246 914974 1664
247 916638 2302
248 918940 4666
249 923606 1700
250 925306 3286
